ACCESSION,EXPERIMENT,DESIGN,LENGTH,INSTRUMENT,BIOSAMPLE,TAXID,GENOME_ACCESSION,SPECIES,ASSEMBLY
DRR022391,DRX020452,PAIRED,200,Illumina HiSeq 2500,SAMD00019544,266835,GCA_000009625.1,Mesorhizobium japonicum MAFF 303099,Complete Genome
DRR022392,DRX020453,PAIRED,200,Illumina HiSeq 2500,SAMD00019545,266835,GCA_000009625.1,Mesorhizobium japonicum MAFF 303099,Complete Genome
DRR022393,DRX020454,PAIRED,200,Illumina HiSeq 2500,SAMD00019546,266835,GCA_000009625.1,Mesorhizobium japonicum MAFF 303099,Complete Genome
DRR022394,DRX020455,PAIRED,200,Illumina HiSeq 2500,SAMD00019547,266835,GCA_000009625.1,Mesorhizobium japonicum MAFF 303099,Complete Genome
DRR022395,DRX020456,PAIRED,200,Illumina HiSeq 2500,SAMD00019548,266835,GCA_000009625.1,Mesorhizobium japonicum MAFF 303099,Complete Genome
DRR022396,DRX020457,PAIRED,200,Illumina HiSeq 2500,SAMD00019549,266835,GCA_000009625.1,Mesorhizobium japonicum MAFF 303099,Complete Genome
DRR029269,DRX026329,PAIRED,200,Illumina Genome Analyzer IIx,SAMD00024958,1300150,GCA_000504125.1,Enterococcus mundtii QU 25,Complete Genome
DRR029270,DRX026330,PAIRED,200,Illumina Genome Analyzer IIx,SAMD00024961,1300150,GCA_000504125.1,Enterococcus mundtii QU 25,Complete Genome
DRR029271,DRX026331,PAIRED,200,Illumina Genome Analyzer IIx,SAMD00024956,1300150,GCA_000504125.1,Enterococcus mundtii QU 25,Complete Genome
DRR029272,DRX026332,PAIRED,50,Illumina HiSeq 2500,SAMD00024954,1300150,GCA_000504125.1,Enterococcus mundtii QU 25,Complete Genome
DRR029273,DRX026333,PAIRED,50,Illumina HiSeq 2500,SAMD00024957,1300150,GCA_000504125.1,Enterococcus mundtii QU 25,Complete Genome
DRR029274,DRX026334,PAIRED,50,Illumina HiSeq 2500,SAMD00024959,1300150,GCA_000504125.1,Enterococcus mundtii QU 25,Complete Genome
DRR029275,DRX026335,PAIRED,50,Illumina HiSeq 2500,SAMD00024953,1300150,GCA_000504125.1,Enterococcus mundtii QU 25,Complete Genome
DRR029276,DRX026336,PAIRED,50,Illumina HiSeq 2500,SAMD00024955,1300150,GCA_000504125.1,Enterococcus mundtii QU 25,Complete Genome
DRR029277,DRX026337,PAIRED,50,Illumina HiSeq 2500,SAMD00024960,1300150,GCA_000504125.1,Enterococcus mundtii QU 25,Complete Genome
DRR034615,DRX031248,PAIRED,200,Illumina HiSeq 2500,SAMD00029738,512565,GCA_000284295.1,Actinoplanes missouriensis 431,Complete Genome
DRR034616,DRX031249,PAIRED,200,Illumina HiSeq 2500,SAMD00029739,512565,GCA_000284295.1,Actinoplanes missouriensis 431,Complete Genome
DRR034617,DRX031250,PAIRED,200,Illumina HiSeq 2500,SAMD00029740,512565,GCA_000284295.1,Actinoplanes missouriensis 431,Complete Genome
DRR034618,DRX031251,PAIRED,200,Illumina HiSeq 2500,SAMD00029741,512565,GCA_000284295.1,Actinoplanes missouriensis 431,Complete Genome
DRR035419,DRX032052,PAIRED,301,Illumina MiSeq,SAMD00030588,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035420,DRX032053,PAIRED,301,Illumina MiSeq,SAMD00030587,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035421,DRX032054,PAIRED,301,Illumina MiSeq,SAMD00030586,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035422,DRX032055,PAIRED,301,Illumina MiSeq,SAMD00030722,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035423,DRX032056,PAIRED,301,Illumina MiSeq,SAMD00030721,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035424,DRX032057,PAIRED,301,Illumina MiSeq,SAMD00030720,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035425,DRX032058,PAIRED,301,Illumina MiSeq,SAMD00030719,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035426,DRX032059,PAIRED,301,Illumina MiSeq,SAMD00030718,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035427,DRX032060,PAIRED,301,Illumina MiSeq,SAMD00030717,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035428,DRX032061,PAIRED,301,Illumina MiSeq,SAMD00030716,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035429,DRX032062,PAIRED,301,Illumina MiSeq,SAMD00030715,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035430,DRX032063,PAIRED,301,Illumina MiSeq,SAMD00030714,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035431,DRX032064,PAIRED,301,Illumina MiSeq,SAMD00030713,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035432,DRX032065,PAIRED,301,Illumina MiSeq,SAMD00030712,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035433,DRX032066,PAIRED,301,Illumina MiSeq,SAMD00030711,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035434,DRX032067,PAIRED,301,Illumina MiSeq,SAMD00030710,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035435,DRX032068,PAIRED,301,Illumina MiSeq,SAMD00030709,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035436,DRX032069,PAIRED,301,Illumina MiSeq,SAMD00030708,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035437,DRX032070,PAIRED,301,Illumina MiSeq,SAMD00030707,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035438,DRX032071,PAIRED,301,Illumina MiSeq,SAMD00030706,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035439,DRX032072,PAIRED,301,Illumina MiSeq,SAMD00030705,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035440,DRX032073,PAIRED,301,Illumina MiSeq,SAMD00030704,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035441,DRX032074,PAIRED,301,Illumina MiSeq,SAMD00030703,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035442,DRX032075,PAIRED,301,Illumina MiSeq,SAMD00030702,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035443,DRX032076,PAIRED,301,Illumina MiSeq,SAMD00030701,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035444,DRX032077,PAIRED,301,Illumina MiSeq,SAMD00030700,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035445,DRX032078,PAIRED,301,Illumina MiSeq,SAMD00030699,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035446,DRX032079,PAIRED,301,Illumina MiSeq,SAMD00030698,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035447,DRX032080,PAIRED,301,Illumina MiSeq,SAMD00030697,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035448,DRX032081,PAIRED,301,Illumina MiSeq,SAMD00030696,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035449,DRX032082,PAIRED,301,Illumina MiSeq,SAMD00030695,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035450,DRX032083,PAIRED,301,Illumina MiSeq,SAMD00030694,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035451,DRX032084,PAIRED,301,Illumina MiSeq,SAMD00030693,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035452,DRX032085,PAIRED,301,Illumina MiSeq,SAMD00030692,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035453,DRX032086,PAIRED,301,Illumina MiSeq,SAMD00030691,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035454,DRX032087,PAIRED,301,Illumina MiSeq,SAMD00030690,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035455,DRX032088,PAIRED,301,Illumina MiSeq,SAMD00030689,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035456,DRX032089,PAIRED,301,Illumina MiSeq,SAMD00030688,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035457,DRX032090,PAIRED,301,Illumina MiSeq,SAMD00030687,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035458,DRX032091,PAIRED,301,Illumina MiSeq,SAMD00030686,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035459,DRX032092,PAIRED,301,Illumina MiSeq,SAMD00030685,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035460,DRX032093,PAIRED,301,Illumina MiSeq,SAMD00030684,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035461,DRX032094,PAIRED,301,Illumina MiSeq,SAMD00030683,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035462,DRX032095,PAIRED,301,Illumina MiSeq,SAMD00030682,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035463,DRX032096,PAIRED,301,Illumina MiSeq,SAMD00030681,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035464,DRX032097,PAIRED,301,Illumina MiSeq,SAMD00030680,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035465,DRX032098,PAIRED,301,Illumina MiSeq,SAMD00030489,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035466,DRX032099,PAIRED,301,Illumina MiSeq,SAMD00030488,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035467,DRX032100,PAIRED,301,Illumina MiSeq,SAMD00030487,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035468,DRX032101,PAIRED,301,Illumina MiSeq,SAMD00030486,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035469,DRX032102,PAIRED,301,Illumina MiSeq,SAMD00030612,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035470,DRX032103,PAIRED,301,Illumina MiSeq,SAMD00030611,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035471,DRX032104,PAIRED,301,Illumina MiSeq,SAMD00030610,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035472,DRX032105,PAIRED,301,Illumina MiSeq,SAMD00030609,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035473,DRX032106,PAIRED,301,Illumina MiSeq,SAMD00030608,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035474,DRX032107,PAIRED,301,Illumina MiSeq,SAMD00030607,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035475,DRX032108,PAIRED,301,Illumina MiSeq,SAMD00030606,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035476,DRX032109,PAIRED,301,Illumina MiSeq,SAMD00030605,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035477,DRX032110,PAIRED,301,Illumina MiSeq,SAMD00030604,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035478,DRX032111,PAIRED,301,Illumina MiSeq,SAMD00030603,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035479,DRX032112,PAIRED,301,Illumina MiSeq,SAMD00030602,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035480,DRX032113,PAIRED,301,Illumina MiSeq,SAMD00030601,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035481,DRX032114,PAIRED,301,Illumina MiSeq,SAMD00030600,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035482,DRX032115,PAIRED,301,Illumina MiSeq,SAMD00030599,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035483,DRX032116,PAIRED,301,Illumina MiSeq,SAMD00030598,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035484,DRX032117,PAIRED,301,Illumina MiSeq,SAMD00030597,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035485,DRX032118,PAIRED,301,Illumina MiSeq,SAMD00030596,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035486,DRX032119,PAIRED,301,Illumina MiSeq,SAMD00030595,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035487,DRX032120,PAIRED,301,Illumina MiSeq,SAMD00030594,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035488,DRX032121,PAIRED,301,Illumina MiSeq,SAMD00030593,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035489,DRX032122,PAIRED,301,Illumina MiSeq,SAMD00030592,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035490,DRX032123,PAIRED,301,Illumina MiSeq,SAMD00030591,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035491,DRX032124,PAIRED,301,Illumina MiSeq,SAMD00030590,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035492,DRX032125,PAIRED,301,Illumina MiSeq,SAMD00030589,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035493,DRX032126,PAIRED,301,Illumina MiSeq,SAMD00030455,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035494,DRX032127,PAIRED,301,Illumina MiSeq,SAMD00030454,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035495,DRX032128,PAIRED,301,Illumina MiSeq,SAMD00030453,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035496,DRX032129,PAIRED,301,Illumina MiSeq,SAMD00030452,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035497,DRX032130,PAIRED,301,Illumina MiSeq,SAMD00030451,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035498,DRX032131,PAIRED,301,Illumina MiSeq,SAMD00030450,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035499,DRX032132,PAIRED,301,Illumina MiSeq,SAMD00030449,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR035500,DRX032133,PAIRED,301,Illumina MiSeq,SAMD00030448,1207470,GCA_000349925.2,Streptococcus pyogenes M1 476,Complete Genome
DRR045030,DRX040352,PAIRED,302,Illumina MiSeq,SAMD00025316,69,GCA_002355975.1,Lysobacter enzymogenes,Complete Genome
DRR045031,DRX040353,PAIRED,302,Illumina MiSeq,SAMD00025317,69,GCA_002355975.1,Lysobacter enzymogenes,Complete Genome
DRR049629,DRX044672,SINGLE,400,Ion Torrent PGM,SAMD00043582,1298851,GCA_001547735.1,Thermosulfidibacter takaii ABI70S6,Complete Genome
DRR049630,DRX044673,SINGLE,400,Ion Torrent PGM,SAMD00043583,1298851,GCA_001547735.1,Thermosulfidibacter takaii ABI70S6,Complete Genome
DRR049631,DRX044674,SINGLE,400,Ion Torrent PGM,SAMD00043584,1298851,GCA_001547735.1,Thermosulfidibacter takaii ABI70S6,Complete Genome
DRR049632,DRX044675,SINGLE,400,Ion Torrent PGM,SAMD00043585,1298851,GCA_001547735.1,Thermosulfidibacter takaii ABI70S6,Complete Genome
DRR059988,DRX054298,PAIRED,150,Illumina MiSeq,SAMD00051329,39960,GCA_001719165.1,Erythrobacter litoralis,Complete Genome
DRR059989,DRX054299,PAIRED,150,Illumina MiSeq,SAMD00051330,39960,GCA_001719165.1,Erythrobacter litoralis,Complete Genome
DRR067275,DRX061206,SINGLE,151,Illumina MiSeq,SAMD00057767,1338,GCA_002356055.1,Streptococcus intermedius,Complete Genome
DRR067276,DRX061207,SINGLE,151,Illumina MiSeq,SAMD00057768,1338,GCA_002356055.1,Streptococcus intermedius,Complete Genome
DRR067277,DRX061208,SINGLE,151,Illumina MiSeq,SAMD00057769,1338,GCA_002356055.1,Streptococcus intermedius,Complete Genome
DRR086558,DRX080387,SINGLE,150,Illumina MiSeq,SAMD00074095,856,GCA_002356455.1,Fusobacterium varium,Complete Genome
DRR086559,DRX080388,SINGLE,150,Illumina MiSeq,SAMD00074096,856,GCA_002356455.1,Fusobacterium varium,Complete Genome
DRR086560,DRX080389,SINGLE,150,Illumina MiSeq,SAMD00074097,856,GCA_002356455.1,Fusobacterium varium,Complete Genome
DRR086561,DRX080390,SINGLE,150,Illumina MiSeq,SAMD00074098,856,GCA_002356455.1,Fusobacterium varium,Complete Genome
DRR086562,DRX080391,SINGLE,150,Illumina MiSeq,SAMD00074099,856,GCA_002356455.1,Fusobacterium varium,Complete Genome
DRR086563,DRX080392,SINGLE,150,Illumina MiSeq,SAMD00074100,856,GCA_002356455.1,Fusobacterium varium,Complete Genome
DRR093244,DRX086742,SINGLE,36,Illumina HiSeq 2500,SAMD00080951,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093245,DRX086743,SINGLE,36,Illumina HiSeq 2500,SAMD00080952,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093246,DRX086744,SINGLE,36,Illumina HiSeq 2500,SAMD00080953,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093247,DRX086745,SINGLE,36,Illumina HiSeq 2500,SAMD00080954,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093248,DRX086746,SINGLE,36,Illumina HiSeq 2500,SAMD00080955,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093249,DRX086747,SINGLE,36,Illumina HiSeq 2500,SAMD00080956,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093250,DRX086748,SINGLE,36,Illumina HiSeq 2500,SAMD00080957,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093251,DRX086749,SINGLE,36,Illumina HiSeq 2500,SAMD00080958,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093252,DRX086750,SINGLE,36,Illumina HiSeq 2500,SAMD00080959,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093253,DRX086751,SINGLE,36,Illumina HiSeq 2500,SAMD00080960,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093254,DRX086752,SINGLE,36,Illumina HiSeq 2500,SAMD00080961,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093255,DRX086753,SINGLE,36,Illumina HiSeq 2500,SAMD00080962,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093256,DRX086754,SINGLE,36,Illumina HiSeq 2500,SAMD00080963,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093257,DRX086755,SINGLE,36,Illumina HiSeq 2500,SAMD00080964,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093258,DRX086756,SINGLE,36,Illumina HiSeq 2500,SAMD00080965,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093259,DRX086757,SINGLE,36,Illumina HiSeq 2500,SAMD00080966,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093260,DRX086758,SINGLE,101,Illumina HiSeq 2000,SAMD00080967,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093261,DRX086759,SINGLE,101,Illumina HiSeq 2000,SAMD00080968,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093262,DRX086760,SINGLE,101,Illumina HiSeq 2000,SAMD00080969,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093263,DRX086761,SINGLE,101,Illumina HiSeq 2000,SAMD00080970,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093264,DRX086762,SINGLE,101,Illumina HiSeq 2000,SAMD00080971,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093265,DRX086763,SINGLE,101,Illumina HiSeq 2000,SAMD00080972,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093266,DRX086764,SINGLE,101,Illumina HiSeq 2000,SAMD00080973,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093267,DRX086765,SINGLE,101,Illumina HiSeq 2000,SAMD00080974,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093268,DRX086766,SINGLE,101,Illumina HiSeq 2000,SAMD00080975,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093269,DRX086767,SINGLE,101,Illumina HiSeq 2000,SAMD00080976,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093270,DRX086768,SINGLE,101,Illumina HiSeq 2000,SAMD00080977,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093271,DRX086769,SINGLE,101,Illumina HiSeq 2000,SAMD00080978,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093272,DRX086770,SINGLE,101,Illumina HiSeq 2000,SAMD00080979,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093273,DRX086771,SINGLE,101,Illumina HiSeq 2000,SAMD00080980,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093274,DRX086772,SINGLE,101,Illumina HiSeq 2000,SAMD00080981,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093275,DRX086773,SINGLE,101,Illumina HiSeq 2000,SAMD00080982,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093276,DRX086774,SINGLE,101,Illumina HiSeq 2000,SAMD00080983,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093277,DRX086775,SINGLE,101,Illumina HiSeq 2000,SAMD00080984,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093278,DRX086776,SINGLE,101,Illumina HiSeq 2000,SAMD00080985,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093279,DRX086777,SINGLE,101,Illumina HiSeq 2000,SAMD00080986,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093280,DRX086778,SINGLE,101,Illumina HiSeq 2000,SAMD00080987,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093281,DRX086779,SINGLE,101,Illumina HiSeq 2000,SAMD00080988,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093282,DRX086780,SINGLE,101,Illumina HiSeq 2000,SAMD00080989,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
DRR093283,DRX086781,SINGLE,101,Illumina HiSeq 2000,SAMD00080990,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
ERR015599,ERX005965,PAIRED,108,Illumina Genome Analyzer II,SAMEA964040,1313,GCA_002843545.1,Streptococcus pneumoniae,Complete Genome
ERR015600,ERX005972,PAIRED,108,Illumina Genome Analyzer II,SAMEA964039,1313,GCA_002843545.1,Streptococcus pneumoniae,Complete Genome
ERR015603,ERX005967,PAIRED,108,Illumina Genome Analyzer II,SAMEA964039,1313,GCA_002843545.1,Streptococcus pneumoniae,Complete Genome
ERR015607,ERX005971,PAIRED,108,Illumina Genome Analyzer II,SAMEA964040,1313,GCA_002843545.1,Streptococcus pneumoniae,Complete Genome
ERR2103717,ERX2161003,PAIRED,150,Illumina MiSeq,SAMEA104225628,83332,GCA_000831245.1,Mycobacterium tuberculosis H37Rv,Complete Genome
ERR2103718,ERX2161004,PAIRED,150,Illumina MiSeq,SAMEA104225629,83332,GCA_000831245.1,Mycobacterium tuberculosis H37Rv,Complete Genome
ERR2103719,ERX2161005,PAIRED,150,Illumina MiSeq,SAMEA104225630,83332,GCA_000831245.1,Mycobacterium tuberculosis H37Rv,Complete Genome
